id,gram,termID
0,$in,"[0, 12, 13, 18, 19, 23, 49, 63, 68, 102, 144, 222, 250, 319, 415, 433, 448, 453, 479, 500, 529, 530, 649, 682, 712, 739, 750, 772, 781, 831, 835, 860, 875, 922, 969, 1052, 1125, 1151, 1163, 1166, 1208, 1246, 1304, 1320, 1346, 1429, 1450, 1532, 1599, 1609, 1647, 1688, 1790, 1795, 1805, 1809, 1817, 1883, 1920, 1988, 2022, 2029, 2045, 2111, 2145, 2172, 2224, 2246, 2409, 2445, 2448, 2452, 2468, 2511, 2530, 2534, 2535, 2543, 2677, 2681, 2740, 2886, 2929, 3058, 3176, 3258, 3287, 3319, 3380, 3399, 3400, 3443, 3475, 3586, 3618, 3632, 3675, 3678, 3713, 3735, 3763, 3774, 3776, 3777, 3798, 3825, 3845, 3895, 3949, 3987, 4034, 4080, 4085, 4115, 4165, 4175, 4206, 4274, 4287, 4335, 4352, 4353, 4359, 4376, 4392, 4397, 4410, 4415, 4416, 4440, 4455, 4499, 4527, 4539, 4614, 4635, 4636, 4679, 4683, 4738, 4813, 4924, 4928, 4947, 4965, 4989, 5021, 5143, 5155, 5193, 5241, 5251, 5255, 5280, 5347, 5407, 5455, 5486, 5562, 5608, 5617, 5636, 5736, 5737, 5865, 5871, 5886, 5918, 5946, 5954, 5955, 5961, 5985, 6007, 6084, 6107, 6162, 6176, 6200, 6309, 6329, 6334, 6357, 6367, 6471, 6523, 6601, 6613, 6641, 6690, 6750, 6770, 6864, 6905, 7016, 7095, 7097, 7125, 7145, 7146, 7147, 7205, 7240, 7249, 7255, 7258, 7272, 7290, 7326, 7354, 7377, 7411, 7430, 7446, 7455, 7473, 7476, 7515, 7516, 7565, 7604, 7697, 7707, 7758, 7780, 7805, 7809, 7832, 7945, 8044, 8053, 8062, 8070, 8071, 8096, 8135, 8207, 8275, 8276, 8282, 8288, 8289, 8295, 8350, 8372, 8431, 8444, 8462, 8469, 8475, 8554, 8561, 8599, 8625, 8650, 8702, 8723, 8854, 8914, 8939, 8984, 9105, 9108, 9113, 9179, 9197, 9222, 9253, 9312, 9322, 9324, 9341, 9433, 9484, 9501, 9526, 9650, 9696, 9746, 9807, 9838, 9862, 9894, 9935, 9946, 9949, 9994, 10002, 10019, 10066, 10101, 10271, 10304, 10330, 10367, 10376, 10437, 10456, 10490, 10500, 10555, 10623, 10641, 10683, 10720, 10729, 10794, 10889, 10986, 11006, 11040, 11105, 11152, 11214, 11221, 11279, 11283, 11324, 11403, 11433, 11473, 11505, 11632, 11640, 11707, 11722, 11756, 11765, 11816, 11900, 12011, 12017, 12132, 12145, 12188, 12263, 12267, 12274, 12281, 12330, 12385, 12392, 12415, 12442, 12474, 12483, 12498, 12503, 12521, 12547]"
1,inc,"[0, 47, 49, 222, 319, 415, 448, 479, 529, 649, 652, 772, 1163, 1208, 1496, 1503, 1564, 2120, 2145, 2899, 2943, 3155, 3176, 3763, 4120, 4175, 4287, 4455, 5104, 5608, 5746, 5801, 5865, 5918, 6161, 6580, 6641, 7089, 7091, 7145, 7146, 7377, 7503, 7758, 8288, 8372, 8475, 8764, 8923, 9017, 9155, 9304, 9322, 9935, 9949, 10083, 10103, 10195, 10401, 10641, 10645, 11039, 11304, 11639, 11640, 11756, 11816, 12263, 12370, 12474, 12644, 12690]"
2,nco,"[0, 137, 1175, 1208, 2357, 3073, 3966, 4120, 4275, 4287, 4581, 5608, 5631, 5746, 5865, 6207, 6327, 6612, 6926, 7089, 7091, 7145, 7146, 7377, 7758, 8014, 8288, 8372, 8475, 8658, 8969, 9304, 9529, 9735, 9949, 10483, 10515, 10681, 10786, 11816, 12336, 12506]"
3,co$,"[0, 1347, 1462, 2227, 3593, 3595, 4023, 4314, 4545, 4569, 4595, 5312, 5509, 5803, 5882, 6482, 6588, 6593, 6866, 6926, 7100, 7546, 7636, 7834, 7856, 8364, 8630, 8730, 8900, 9297, 9304, 9329, 9368, 9600, 9614, 9848, 9976, 10158, 10515, 10612, 10663, 11040, 11299, 11525, 11914, 11943, 12060, 12116, 12283, 12653, 12674, 12749]"
4,$se,"[1, 30, 38, 61, 73, 96, 133, 309, 383, 404, 405, 406, 443, 519, 521, 524, 536, 568, 588, 600, 601, 608, 628, 691, 740, 793, 871, 872, 904, 966, 1043, 1058, 1193, 1303, 1331, 1381, 1504, 1517, 1764, 1769, 1808, 1874, 1899, 1911, 1973, 2039, 2236, 2428, 2754, 2916, 3008, 3036, 3045, 3215, 3239, 3472, 3493, 3741, 3800, 3874, 4042, 4064, 4077, 4121, 4129, 4145, 4294, 4320, 4403, 4414, 4502, 4603, 4608, 4657, 4659, 4715, 4719, 4778, 4952, 4986, 4988, 5111, 5233, 5315, 5592, 5695, 5917, 6204, 6339, 6360, 6411, 6421, 6460, 6498, 6571, 6748, 6758, 6862, 6966, 7044, 7415, 7544, 7941, 7961, 7984, 8050, 8445, 8456, 8547, 8580, 8602, 8636, 8653, 8678, 8713, 8773, 8865, 8908, 8930, 9156, 9201, 9249, 9289, 9666, 9765, 9780, 9843, 10018, 10027, 10028, 10031, 10098, 10208, 10350, 10411, 10474, 10719, 11057, 11235, 11376, 11527, 11657, 11738, 11778, 11835, 11869, 11884, 12216, 12234, 12349, 12449, 12717]"
5,see,"[1, 588, 871, 951, 966, 1381, 1484, 2039, 2385, 2775, 2841, 3472, 3710, 3856, 4129, 4284, 4559, 4560, 4849, 5225, 5592, 6113, 6411, 6550, 8374, 8773, 9289, 9518, 10193, 10271, 10411, 10807, 11650, 11835, 12496]"
6,ee$,"[1, 330, 469, 618, 741, 1041, 1820, 1945, 2023, 2025, 2252, 2336, 2606, 2776, 2841, 3162, 3565, 3856, 4037, 4284, 5326, 5441, 5476, 6113, 7479, 7738, 7905, 8574, 8611, 9510, 10193, 10271, 11151, 11310, 11513, 12701]"
7,$ma,"[2, 14, 41, 54, 64, 94, 97, 146, 292, 358, 457, 466, 481, 520, 577, 583, 592, 633, 674, 789, 909, 974, 997, 1055, 1075, 1090, 1171, 1263, 1264, 1300, 1324, 1347, 1398, 1594, 1634, 1679, 1838, 1975, 1981, 2034, 2103, 2179, 2182, 2196, 2202, 2268, 2289, 2290, 2327, 2330, 2338, 2360, 2408, 2538, 2549, 2634, 2635, 2726, 2737, 2949, 3005, 3010, 3125, 3256, 3259, 3362, 3363, 3420, 3484, 3527, 3558, 3610, 3646, 3656, 3672, 3690, 3691, 3728, 3828, 3862, 3934, 3945, 4099, 4298, 4307, 4336, 4411, 4426, 4473, 4534, 4557, 4569, 4575, 4587, 4597, 4727, 4811, 4826, 4840, 4842, 4866, 4957, 4973, 5011, 5059, 5254, 5637, 5702, 5729, 5788, 5928, 5935, 6144, 6160, 6301, 6337, 6422, 6431, 6501, 6526, 6611, 6621, 6623, 6694, 6775, 7009, 7120, 7134, 7183, 7197, 7284, 7297, 7318, 7409, 7457, 7482, 7511, 7595, 7608, 7623, 7727, 7833, 7893, 7937, 8105, 8107, 8213, 8266, 8273, 8329, 8361, 8368, 8461, 8498, 8677, 8710, 8747, 8768, 8783, 8937, 9000, 9022, 9122, 9164, 9375, 9445, 9447, 9513, 9578, 9682, 9789, 9820, 9854, 9887, 9918, 9967, 9998, 10105, 10124, 10147, 10204, 10250, 10306, 10329, 10486, 10504, 10511, 10549, 10618, 10653, 10693, 10713, 10723, 10739, 10766, 10769, 10833, 10900, 11053, 11068, 11076, 11153, 11169, 11259, 11317, 11331, 11465, 11467, 11541, 11583, 11588, 11613, 11642, 11651, 11661, 11740, 11811, 11814, 11960, 12108, 12176, 12183, 12221, 12294, 12311, 12484, 12508, 12509, 12628]"
8,maj,"[2, 974, 4534]"
9,ajo,"[2, 974, 7235]"
10,jor,"[2, 974, 3716, 5222, 6915, 9307]"
11,or$,"[2, 63, 126, 309, 430, 482, 601, 612, 615, 645, 656, 739, 904, 1018, 1029, 1189, 1317, 1335, 1363, 1663, 1692, 1722, 1772, 1793, 1811, 1874, 1893, 2364, 2464, 2513, 2611, 2656, 2881, 2975, 3228, 3243, 3255, 3290, 3323, 3332, 3644, 3845, 3850, 3956, 4085, 4267, 4334, 4353, 4365, 4477, 4639, 4642, 4703, 4818, 4824, 4887, 4999, 5006, 5040, 5139, 5145, 5183, 5381, 5577, 5730, 5810, 5812, 6157, 6307, 6442, 6822, 6825, 6870, 6947, 7010, 7012, 7097, 7117, 7159, 7310, 7330, 7346, 7734, 7850, 7869, 7961, 7967, 8176, 8443, 8499, 8528, 8692, 8721, 8871, 9217, 9275, 9386, 9391, 9488, 9543, 9740, 10234, 10499, 10653, 10793, 10853, 10891, 11169, 11305, 11661, 11734, 11832, 11836, 11876, 11881, 11883, 12336, 12378, 12379, 12413, 12483, 12624, 12626, 12700]"
12,$im,"[3, 267, 543, 593, 733, 839, 845, 1074, 1083, 1106, 1155, 1424, 1527, 1547, 1632, 1635, 1813, 1955, 2307, 2432, 2476, 2865, 2880, 2889, 2922, 3847, 4066, 4195, 4288, 4395, 4472, 4555, 4634, 4919, 4963, 5163, 5409, 5957, 6235, 6491, 6578, 6608, 6673, 6992, 7066, 7238, 7325, 7724, 7902, 8322, 8458, 8474, 8584, 8588, 8593, 8826, 9035, 9203, 9479, 10690, 10842, 11087, 11177, 11928, 11945, 12110]"
13,imp,"[3, 267, 543, 593, 839, 845, 1074, 1106, 1424, 1527, 1547, 1632, 1635, 1813, 2307, 2432, 2449, 2476, 2880, 2889, 2922, 3320, 3322, 3847, 4066, 4288, 4472, 4634, 4919, 4963, 5163, 5409, 6235, 6491, 6578, 6608, 7066, 7238, 7325, 7724, 7820, 7902, 8322, 8474, 8588, 8593, 8826, 9035, 9203, 9233, 9479, 10243, 10690, 10842, 11177, 11945, 12322]"
14,mpa,"[3, 15, 622, 993, 2126, 2314, 2510, 2833, 2901, 2922, 3480, 4497, 5608, 5904, 6608, 6736, 7230, 7287, 7288, 7689, 8166, 8177, 8478, 8561, 8588, 9035, 9143, 9203, 9430, 10114, 11094, 11842, 11945, 12143, 12506]"
15,pac,"[3, 1146, 1186, 1481, 1748, 1967, 2643, 3028, 3033, 3341, 3480, 3807, 4606, 4815, 4935, 5034, 5467, 5630, 6368, 6922, 7340, 7387, 8588, 8728, 8858, 9003, 11267, 11427, 11787, 11823, 11911, 12000, 12499, 12574]"
16,act,"[3, 31, 290, 358, 374, 870, 891, 959, 1420, 1454, 1586, 1603, 1663, 1679, 1722, 1772, 1839, 1953, 2129, 2289, 2290, 2364, 2500, 2519, 2569, 2859, 3028, 3303, 3343, 3480, 3490, 3517, 3547, 3602, 3796, 4080, 4169, 4204, 4300, 4322, 4498, 4921, 4991, 4992, 5006, 5101, 5275, 5436, 5511, 5586, 5605, 5843, 5922, 6003, 6029, 6268, 6512, 6654, 6695, 6843, 7047, 7208, 7495, 7533, 7667, 7695, 7865, 7869, 7954, 8033, 8070, 8227, 8305, 8393, 8588, 8631, 8702, 8858, 8971, 9003, 9081, 9193, 9220, 9345, 9559, 9791, 9925, 9999, 10051, 10218, 10690, 10703, 10805, 11105, 11138, 11507, 11602, 11613, 11721, 11735, 11773, 11824, 11917, 11948, 11997, 12081, 12379, 12619]"
17,ct$,"[3, 7, 140, 227, 290, 310, 548, 697, 716, 740, 840, 891, 931, 1219, 1292, 1309, 1420, 1604, 1659, 1720, 2243, 2766, 2899, 2923, 2953, 3028, 3171, 3303, 3343, 3376, 3452, 3480, 3517, 3678, 3776, 4107, 4132, 4204, 4300, 4360, 4550, 4683, 4992, 5155, 5260, 5843, 6029, 6046, 6112, 7136, 7145, 7208, 7539, 7548, 7655, 7888, 8102, 8631, 8702, 8760, 8948, 9875, 10159, 10177, 10664, 11354, 12011, 12145]"
18,$do,"[4, 126, 430, 638, 679, 800, 953, 1232, 1295, 1387, 1596, 1719, 1740, 1912, 2015, 2183, 2221, 3358, 3466, 3662, 3695, 3730, 3985, 4156, 4365, 4528, 4701, 4954, 5165, 5250, 5303, 5359, 5424, 5492, 5596, 6120, 6390, 6575, 6649, 7059, 7627, 7751, 7756, 8769, 8796, 8893, 9074, 9315, 9338, 9990, 10276, 10344, 10460, 10565, 10659, 10710, 11036, 11139, 11179, 11209, 11457, 11770, 11771, 11782, 11963, 11988, 12193, 12227, 12494, 12500, 12531, 12621]"
