id,gram,termID
0,$ti,"[0, 754, 1961]"
1,tit,"[0, 346, 359, 446, 758, 766, 837, 863, 904, 1199, 1634, 1739, 2645, 2700, 3021, 3175, 3380]"
2,itl,[0]
3,tle,"[0, 1076]"
4,lec,"[0, 258, 328, 523, 764, 827, 880, 914, 1097, 1162, 1475, 1893, 2261, 3231, 3270, 3337, 3484]"
5,eco,"[0, 52, 211, 559, 652, 693, 756, 796, 891, 935, 1088, 1097, 1146, 1150, 1162, 1297, 1703, 1790, 1958, 1968, 2392, 2733, 3005, 3067, 3361, 3362, 3394, 3492]"
6,cou,"[0, 81, 481, 784, 2066, 2070, 2102, 2178, 2214, 2288, 2465, 2855, 3455]"
7,our,"[0, 31, 234, 316, 440, 505, 550, 784, 1237, 1511, 1819, 1882, 1916, 2126, 2178, 2359, 2516, 2637, 2640, 2855, 2989, 3471]"
8,urs,"[0, 206, 207, 2614, 3046, 3089, 3397]"
9,rse,"[0, 25, 371, 1709, 2201, 2271, 3397]"
10,se$,"[0, 33, 76, 112, 149, 199, 356, 371, 929, 975, 1031, 1077, 1243, 1244, 1371, 1492, 1599, 1652, 1653, 2010, 2068, 2198, 2201, 2364, 2422, 2535, 2905, 3050, 3145, 3227, 3397, 3487, 3537]"
11,$de,"[1, 108, 153, 212, 232, 263, 333, 349, 377, 547, 595, 609, 613, 622, 689, 790, 896, 977, 988, 1157, 1207, 1208, 1316, 1360, 1386, 1392, 1397, 1461, 1510, 1560, 1586, 1588, 1590, 1675, 1676, 1811, 1860, 1884, 1944, 1973, 1977, 1998, 2071, 2226, 2309, 2319, 2330, 2392, 2416, 2538, 2591, 2753, 2804, 2834, 2877, 3041, 3044, 3045, 3132, 3170, 3211, 3212, 3285, 3308, 3361, 3403, 3519]"
12,des,"[1, 8, 153, 349, 547, 576, 689, 1944, 2564, 2877]"
13,esc,"[1, 153, 374, 1606, 1608, 1747, 1944, 2877]"
14,scr,"[1, 153, 374, 1292, 1944, 2249, 2651, 3062, 3377, 3477, 3521]"
15,cri,"[1, 153, 374, 544, 765, 1292, 1944, 2118, 3062, 3377, 3477]"
16,rip,"[1, 153, 374, 415, 640, 2338, 3062, 3377]"
17,ipt,"[1, 153, 374, 2565, 3062, 3377]"
18,pti,"[1, 153, 179, 374, 807, 982, 1071, 1210, 1270, 1330, 1529, 1712, 1739, 1870, 2003, 2435, 2565, 2699, 3062, 3110, 3181, 3212, 3342, 3400, 3436, 3439, 3449]"
19,tio,"[1, 4, 12, 18, 23, 60, 92, 100, 104, 114, 116, 136, 137, 138, 143, 144, 145, 152, 155, 163, 179, 183, 189, 220, 222, 223, 224, 228, 239, 241, 257, 263, 271, 274, 290, 296, 321, 340, 361, 373, 384, 386, 400, 401, 402, 442, 446, 457, 465, 470, 487, 489, 511, 523, 527, 543, 554, 558, 567, 570, 581, 588, 591, 595, 596, 607, 619, 621, 650, 654, 657, 659, 662, 721, 726, 758, 763, 764, 767, 788, 798, 810, 818, 825, 839, 851, 857, 859, 863, 878, 882, 893, 904, 933, 950, 955, 982, 1016, 1017, 1019, 1020, 1024, 1033, 1034, 1036, 1062, 1071, 1082, 1119, 1122, 1124, 1129, 1135, 1147, 1153, 1162, 1166, 1202, 1216, 1239, 1257, 1258, 1275, 1293, 1315, 1321, 1330, 1345, 1345, 1352, 1356, 1372, 1392, 1416, 1421, 1436, 1457, 1458, 1502, 1503, 1509, 1513, 1529, 1530, 1534, 1544, 1556, 1567, 1577, 1584, 1600, 1602, 1616, 1631, 1641, 1644, 1663, 1696, 1704, 1707, 1725, 1727, 1735, 1736, 1750, 1753, 1762, 1779, 1790, 1804, 1829, 1857, 1864, 1867, 1870, 1892, 1893, 1904, 1911, 1915, 1934, 1947, 1967, 1976, 1977, 1980, 1986, 2003, 2011, 2040, 2095, 2096, 2161, 2164, 2170, 2182, 2191, 2199, 2200, 2228, 2239, 2261, 2266, 2271, 2273, 2286, 2291, 2292, 2293, 2309, 2370, 2392, 2393, 2415, 2425, 2440, 2444, 2501, 2517, 2521, 2526, 2534, 2541, 2545, 2549, 2566, 2574, 2604, 2645, 2661, 2670, 2680, 2703, 2727, 2729, 2739, 2757, 2783, 2786, 2790, 2804, 2861, 2865, 2872, 2875, 2902, 2904, 2921, 2923, 2931, 3001, 3005, 3006, 3021, 3022, 3023, 3041, 3051, 3110, 3152, 3161, 3175, 3181, 3182, 3199, 3212, 3214, 3217, 3231, 3254, 3256, 3264, 3286, 3292, 3300, 3336, 3344, 3363, 3365, 3366, 3385, 3394, 3395, 3399, 3439, 3474, 3482, 3484, 3492, 3500, 3506, 3508]"
